"id","timestamp","in_count","out_count","net_flow","current_vehicles","parking_percentage","api_feels_like","api_humidity","api_clouds","api_temperature","board_temperature","is_raining","pir_in_trigger","raw_ultrasonic_in_us","ultrasonic_in_cm","raw_lidar_in_analog","pir_out_trigger","raw_ultrasonic_out_us","ultrasonic_out_cm","raw_lidar_out_analog","lidar_in_cm","lidar_out_cm"
"813","2026-04-05 18:55:54","0","4","-4","19","8.56","43.05","70","37","34.97","37.8","0","0","0","0","0","0","7058","121.69","1234","0","19.89"
"814","2026-04-05 19:05:42","0","2","-2","17","7.66","43.79","74","45","34.97","36.5","0","1","0","0","0","2","7531","129.86","1490","0","21.69"
"815","2026-04-05 19:15:42","1","1","0","17","7.66","39.43","59","13","33.97","36.5","0","0","5964","102.83","1428","0","5349","92.23","1328","19.59","13.65"
"816","2026-04-05 19:33:37","0","1","-1","16","7.21","42.05","74","78","33.97","36.5","0","0","0","0","0","1","5081","87.62","1382","0","24.62"
"817","2026-04-05 19:43:37","0","0","0","16","7.21","40.3","64","25","33.97","36.5","0","0","0","0","0","0","0","0","0","0","0"
"818","2026-04-05 19:53:37","0","0","0","16","7.21","41.35","70","13","33.97","36.5","0","0","0","0","0","0","0","0","0","0","0"
"819","2026-04-05 20:03:37","1","1","0","16","7.21","38.9","63","35","33.2","36.5","0","0","5694","98.18","1094","0","7322","126.25","980","22.33","20.47"
"820","2026-04-05 20:13:37","0","4","-4","12","5.41","36.65","61","33","31.97","36.2","0","0","0","0","0","8","5812","100.22","1247","0","13.69"
"821","2026-04-05 20:23:37","0","0","0","12","5.41","36.81","62","19","31.97","36.2","0","0","0","0","0","0","0","0","0","0","0"
"822","2026-04-05 20:33:37","0","3","-3","9","4.05","37.16","50","26","33.5","36.2","0","0","0","0","0","0","6851","118.13","1073","0","23.7"
"823","2026-04-05 20:43:38","0","0","0","9","4.05","33.5","50","12","30.97","36.2","0","0","0","0","0","0","0","0","0","0","0"
"824","2026-04-05 20:57:49","1","3","-2","7","3.15","36.75","72","40","30.97","36.2","0","0","6444","111.11","1434","0","6257","107.88","882","22.37","15.48"
"825","2026-04-05 21:07:49","0","1","-1","6","2.7","33.65","51","26","30.97","36","0","0","0","0","0","1","7424","128.01","1075","0","23.71"
"826","2026-04-05 21:26:24","1","0","1","7","3.15","34.02","50","26","31.33","35.8","0","0","4740","81.74","850","1","0","0","0","23.22","0"
"827","2026-04-05 21:36:24","1","2","-1","6","2.7","37.34","76","44","30.97","35.8","0","0","6719","115.85","1415","0","6021","103.82","842","12.15","18.94"
"828","2026-04-05 21:46:24","1","2","-1","5","2.25","35.57","64","18","30.97","35.8","0","0","5579","96.19","832","0","6821","117.62","1274","18.44","16.99"
"829","2026-04-05 21:56:24","0","0","0","5","2.25","35.54","55","14","31.85","35.8","0","0","0","0","0","0","0","0","0","0","0"
"830","2026-04-05 22:06:24","0","0","0","5","2.25","35.13","59","38","31.17","35.5","0","0","0","0","0","1","0","0","0","0","0"
"831","2026-04-05 22:16:24","0","0","0","5","2.25","37.37","74","78","31.17","35.5","0","0","0","0","0","0","0","0","0","0","0"
"832","2026-04-05 22:26:24","0","0","0","5","2.25","35.44","65","37","30.79","35.5","0","0","0","0","0","0","0","0","0","0","0"
"833","2026-04-05 22:36:24","0","0","0","5","2.25","36.7","77","55","30.49","35.5","0","0","0","0","0","0","0","0","0","0","0"
"834","2026-04-05 22:46:24","0","0","0","5","2.25","35.7","70","13","30.49","35.5","0","0","0","0","0","0","0","0","0","0","0"
"835","2026-04-05 22:56:24","0","0","0","5","2.25","34.55","62","13","30.49","35.5","0","0","0","0","0","0","0","0","0","0","0"
"836","2026-04-05 23:06:24","0","0","0","5","2.25","36.01","75","74","30.24","35.5","0","0","0","0","0","0","0","0","0","0","0"
