"id","timestamp","in_count","out_count","net_flow","current_vehicles","parking_percentage","api_feels_like","api_humidity","api_clouds","api_temperature","board_temperature","is_raining","pir_in_trigger","raw_ultrasonic_in_us","ultrasonic_in_cm","raw_lidar_in_analog","pir_out_trigger","raw_ultrasonic_out_us","ultrasonic_out_cm","raw_lidar_out_analog","lidar_in_cm","lidar_out_cm"
"813","2026-04-05 18:55:54","0","2","-2","21","9.46","40.46","56","17","34.97","37.8","0","0","0","0","0","0","7675","132.34","0","0","0"
"814","2026-04-05 19:05:42","0","2","-2","19","8.56","41.94","64","21","34.97","36.5","0","1","0","0","0","2","7715","133.02","0","0","0"
"815","2026-04-05 19:15:42","0","3","-3","16","7.21","38.91","56","28","33.97","36.5","0","0","0","0","0","0","5170","89.15","0","0","0"
"816","2026-04-05 19:33:37","0","1","-1","15","6.76","42.92","79","71","33.97","36.5","0","0","0","0","0","1","7182","123.84","0","0","0"
"817","2026-04-05 19:43:37","0","3","-3","12","5.41","38.73","55","30","33.97","36.5","0","0","0","0","0","0","7449","128.44","0","0","0"
"818","2026-04-05 19:53:37","0","2","-2","10","4.5","42.4","76","53","33.97","36.5","0","0","0","0","0","0","6363","109.71","0","0","0"
"819","2026-04-05 20:03:37","0","0","0","10","4.5","40.4","72","41","33.2","36.5","0","0","0","0","0","0","0","0","0","0","0"
"820","2026-04-05 20:13:37","0","4","-4","6","2.7","36.96","63","38","31.97","36.2","0","0","0","0","0","8","7704","132.83","0","0","0"
"821","2026-04-05 20:23:37","0","0","0","6","2.7","37.12","64","14","31.97","36.2","0","0","0","0","0","0","0","0","0","0","0"
"822","2026-04-05 20:33:37","0","2","-2","4","1.8","37.84","54","15","33.5","36.2","0","0","0","0","0","0","7099","122.4","0","0","0"
"823","2026-04-05 20:43:38","0","1","-1","3","1.35","34.24","55","29","30.97","36.2","0","0","0","0","0","0","6523","112.47","0","0","0"
"824","2026-04-05 20:57:49","0","0","0","3","1.35","33.5","50","27","30.97","36.2","0","0","0","0","0","0","0","0","0","0","0"
"825","2026-04-05 21:07:49","0","1","-1","2","0.9","36.9","73","66","30.97","36","0","0","0","0","0","1","7696","132.7","0","0","0"
"826","2026-04-05 21:26:24","0","1","-1","1","0.45","34.32","52","38","31.33","35.8","0","0","0","0","0","1","7746","133.56","0","0","0"
"827","2026-04-05 21:36:24","0","0","0","1","0.45","36.01","67","37","30.97","35.8","0","0","0","0","0","0","0","0","0","0","0"
"828","2026-04-05 21:46:24","0","0","0","1","0.45","36.16","68","29","30.97","35.8","0","0","0","0","0","0","0","0","0","0","0"
"829","2026-04-05 21:56:24","0","0","0","0","0","38.95","77","42","31.85","35.8","0","0","0","0","0","0","0","0","0","0","0"
"830","2026-04-05 22:06:24","0","0","0","0","0","36.62","69","26","31.17","35.5","0","0","0","0","0","1","0","0","0","0","0"
"831","2026-04-05 22:16:24","0","0","0","0","0","36.18","66","38","31.17","35.5","0","0","0","0","0","0","0","0","0","0","0"
"832","2026-04-05 22:26:24","0","0","0","0","0","37.34","78","41","30.79","35.5","0","0","0","0","0","0","0","0","0","0","0"
"833","2026-04-05 22:36:24","0","0","0","0","0","34.26","60","35","30.49","35.5","0","0","0","0","0","0","0","0","0","0","0"
"834","2026-04-05 22:46:24","0","0","0","0","0","36.7","77","64","30.49","35.5","0","0","0","0","0","0","0","0","0","0","0"
"835","2026-04-05 22:56:24","0","0","0","0","0","36.56","76","65","30.49","35.5","0","0","0","0","0","0","0","0","0","0","0"
"836","2026-04-05 23:06:24","0","0","0","0","0","33.89","60","30","30.24","35.5","0","0","0","0","0","0","0","0","0","0","0"
"837","2026-04-05 23:18:54","0","0","0","0","0","33.61","58","36","30.24","35.5","0","0","0","0","0","0","0","0","0","0","0"
"838","2026-04-05 23:28:54","0","0","0","0","0","35.18","69","24","30.25","35.5","0","0","0","0","0","0","0","0","0","0","0"
"839","2026-04-05 23:38:53","0","0","0","0","0","36.17","76","50","30.25","35.5","0","0","0","0","0","0","0","0","0","0","0"
"840","2026-04-05 23:48:53","0","0","0","0","0","34.51","63","26","30.37","35.5","0","0","0","0","0","0","0","0","0","0","0"
"841","2026-04-05 23:58:53","0","0","0","0","0","36.51","77","41","30.37","35.5","0","0","0","0","0","0","0","0","0","0","0"
"842","2026-04-06 00:08:55","0","0","0","0","0","34.87","73","76","29.7","35.5","0","0","0","0","0","0","0","0","0","0","0"
"843","2026-04-06 00:18:53","0","0","0","0","0","34.32","69","17","29.7","35.5","0","0","0","0","0","0","0","0","0","0","0"
"844","2026-04-06 00:28:54","0","0","0","0","0","33.34","70","11","28.97","35.5","0","0","0","0","0","0","0","0","0","0","0"
"845","2026-04-06 00:38:54","0","0","0","0","0","32.94","67","24","28.97","35.5","0","0","0","0","0","0","0","0","0","0","0"
"846","2026-04-06 00:48:54","0","0","0","0","0","32.02","60","30","28.97","35.5","0","0","0","0","0","0","0","0","0","0","0"
"847","2026-04-06 00:58:54","0","0","0","0","0","34.26","77","60","28.97","35.5","0","0","0","0","0","0","0","0","0","0","0"
"848","2026-04-06 01:08:54","0","0","0","0","0","31.23","54","24","28.97","35.5","0","0","0","0","0","0","0","0","0","0","0"
"849","2026-04-06 01:18:53","0","0","0","0","0","31.89","59","25","28.97","35.5","0","0","0","0","0","0","0","0","0","0","0"
"850","2026-04-06 01:28:53","0","0","0","0","0","33.99","75","58","28.97","35.5","0","0","0","0","0","0","0","0","0","0","0"
"851","2026-04-06 01:38:54","0","0","0","0","0","31.76","58","37","28.97","35.5","0","0","0","0","0","0","0","0","0","0","0"
"852","2026-04-06 01:48:54","0","0","0","0","0","33.73","73","68","28.97","35.5","0","0","0","0","0","0","0","0","0","0","0"
"853","2026-04-06 01:58:53","0","0","0","0","0","31.89","59","18","28.97","35.5","0","0","0","0","0","0","0","0","0","0","0"
"854","2026-04-06 02:08:54","0","0","0","0","0","32.94","67","23","28.97","35.5","0","0","0","0","0","0","0","0","0","0","0"
"855","2026-04-06 02:18:54","0","0","0","0","0","33.47","71","60","28.97","35.5","0","0","0","0","0","0","0","0","0","0","0"
"856","2026-04-06 02:28:54","0","0","0","0","0","31.36","55","10","28.97","35.5","0","0","0","0","0","0","0","0","0","0","0"
"857","2026-04-06 02:38:54","0","0","0","0","0","29.42","50","25","28.03","35.5","0","0","0","0","0","0","0","0","0","0","0"
"858","2026-04-06 02:48:54","0","0","0","0","0","29.92","54","29","28.03","35.5","0","0","0","0","0","0","0","0","0","0","0"
"859","2026-04-06 02:58:54","0","0","0","0","0","32.81","66","17","28.97","35.5","0","0","0","0","0","0","0","0","0","0","0"
"860","2026-04-06 03:08:53","0","0","0","0","0","32.02","60","31","28.97","35.5","0","0","0","0","0","0","0","0","0","0","0"
"861","2026-04-06 03:18:54","0","0","0","0","0","33.86","74","42","28.97","35.5","0","0","0","0","0","0","0","0","0","0","0"
"862","2026-04-06 03:28:54","0","0","0","0","0","32.94","67","35","28.97","35.5","0","0","0","0","0","0","0","0","0","0","0"
"863","2026-04-06 03:38:54","0","0","0","0","0","32.91","78","70","28.03","35.5","0","0","0","0","0","0","0","0","0","0","0"
"864","2026-04-06 03:48:53","0","0","0","0","0","32.41","74","69","28.03","35.5","0","0","0","0","0","0","0","0","0","0","0"
"865","2026-04-06 03:58:54","0","0","0","0","0","30.71","50","15","28.97","35.5","0","0","0","0","0","0","0","0","0","0","0"
"866","2026-04-06 04:08:54","0","0","0","0","0","30.71","50","29","28.97","35.5","0","0","0","0","0","0","0","0","0","0","0"
"867","2026-04-06 04:18:54","0","0","0","0","0","32.02","60","18","28.97","35.5","0","0","0","0","0","0","0","0","0","0","0"
"868","2026-04-06 04:28:54","0","0","0","0","0","33.34","70","10","28.97","35.5","0","0","0","0","0","0","0","0","0","0","0"
"869","2026-04-06 04:38:54","0","0","0","0","0","31.76","58","32","28.97","35.5","0","0","0","0","0","0","0","0","0","0","0"
"870","2026-04-06 04:48:54","0","0","0","0","0","32.55","64","20","28.97","35.5","0","0","0","0","0","0","0","0","0","0","0"
"871","2026-04-06 04:58:54","0","0","0","0","0","33.07","68","21","28.97","35.5","0","0","0","0","0","0","0","0","0","0","0"
"872","2026-04-06 05:08:54","0","0","0","0","0","34.13","76","76","28.97","35.5","0","0","0","0","0","0","0","0","0","0","0"
"873","2026-04-06 05:18:54","0","0","0","0","0","32.02","60","16","28.97","35.5","0","0","0","0","0","0","0","0","0","0","0"
"874","2026-04-06 05:28:54","0","0","0","0","0","33.73","73","75","28.97","35.5","0","0","0","0","0","0","0","0","0","0","0"
"875","2026-04-06 05:38:54","0","0","0","0","0","33.17","75","57","28.44","35.5","0","0","0","0","0","0","0","0","0","0","0"
"876","2026-04-06 05:48:54","0","0","0","0","0","34.26","77","41","28.97","35.5","0","0","0","0","0","0","0","0","0","0","0"
"877","2026-04-06 05:58:54","0","0","0","0","0","30.84","51","17","28.97","33.8","0","0","0","0","0","1","0","0","0","0","0"
"878","2026-04-06 06:08:54","0","0","0","0","0","30.03","59","16","27.67","33.8","0","0","0","0","0","1","0","0","0","0","0"
"879","2026-04-06 06:18:54","0","0","0","0","0","28.93","50","13","27.67","33.8","0","0","0","0","0","0","0","0","0","0","0"
"880","2026-04-06 06:28:54","0","0","0","0","0","30.64","64","38","27.67","33.8","0","0","0","0","0","0","0","0","0","0","0"
"881","2026-04-06 06:38:54","0","0","0","0","0","30.39","62","15","27.67","33.8","0","0","0","0","0","1","0","0","0","0","0"
"882","2026-04-06 06:48:54","0","0","0","0","0","29.78","57","33","27.67","33.8","0","0","0","0","0","2","0","0","0","0","0"
"883","2026-04-06 06:58:54","0","0","0","0","0","29.54","55","29","27.67","33.8","0","0","0","0","0","1","0","0","0","0","0"
"884","2026-04-06 07:08:54","5","1","4","4","1.8","30.64","64","23","27.67","33.8","0","0","7283","125.58","0","0","7161","123.48","0","0","0"
"885","2026-04-06 07:18:54","4","0","4","8","3.6","31.52","62","19","28.45","33.8","0","0","6742","116.25","0","0","0","0","0","0","0"
"886","2026-04-06 07:28:54","2","1","1","9","4.05","33.55","78","56","28.44","33.8","0","0","6737","116.17","0","0","6665","114.93","0","0","0"
"887","2026-04-06 07:38:54","3","0","3","12","5.41","34.05","64","28","29.97","33.8","0","0","5828","100.49","0","0","0","0","0","0","0"
"888","2026-04-06 07:48:54","5","0","5","17","7.66","32.37","52","33","29.97","33.8","0","0","6250","107.76","0","0","0","0","0","0","0"
"889","2026-04-06 07:58:54","4","1","3","20","9.01","34.32","66","24","29.97","33.8","0","0","5090","87.77","0","0","6702","115.56","0","0","0"
"890","2026-04-06 08:08:54","1","0","1","21","9.46","34.88","70","21","29.97","33.8","0","0","6420","110.69","0","0","0","0","0","0","0"
"891","2026-04-06 08:18:54","3","0","3","24","10.81","33.07","57","35","29.97","33.8","0","0","5064","87.32","0","0","0","0","0","0","0"
"892","2026-04-06 08:28:54","2","1","1","25","11.26","32.51","53","14","29.97","33.8","0","0","6891","118.82","0","0","6332","109.18","0","0","0"
"893","2026-04-06 08:38:54","2","0","2","27","12.16","37.12","64","20","31.97","33.8","0","0","6006","103.56","0","0","0","0","0","0","0"
"894","2026-04-06 08:48:54","5","1","4","31","13.96","35.25","52","26","31.97","33.8","0","0","7074","121.97","0","0","6984","120.43","0","0","0"
"895","2026-04-06 08:58:54","2","1","1","32","14.41","35.71","55","32","31.97","33.8","0","0","6959","119.99","0","0","8067","139.1","0","0","0"
"896","2026-04-06 09:08:54","2","0","2","34","15.32","39.46","79","43","31.97","33.8","0","0","5659","97.58","0","0","0","0","0","0","0"
"897","2026-04-06 09:18:54","1","0","1","35","15.77","36.18","58","26","31.97","33.8","0","0","7816","134.77","0","4","0","0","0","0","0"
"898","2026-04-06 09:28:54","0","0","0","35","15.77","38.68","74","45","31.97","33.8","0","0","0","0","0","0","0","0","0","0","0"
"899","2026-04-06 09:38:54","2","1","1","36","16.22","35.4","53","28","31.97","33.8","0","0","4963","85.58","0","0","6039","104.13","0","0","0"
"900","2026-04-06 09:48:54","0","0","0","36","16.22","38.53","63","27","32.97","34.2","0","0","0","0","0","1","0","0","0","0","0"
"901","2026-04-06 09:58:54","1","0","1","37","16.67","40.18","73","41","32.97","34.2","0","0","6293","108.51","0","0","0","0","0","0","0"
"902","2026-04-06 10:08:54","1","0","1","38","17.12","39.19","67","32","32.97","34.2","0","0","7073","121.96","0","2","0","0","0","0","0"
"903","2026-04-06 10:18:54","1","0","1","39","17.57","38.53","63","36","32.97","34.5","0","0","7120","122.76","0","9","0","0","0","0","0"
"904","2026-04-06 10:28:54","0","3","-3","36","16.22","37.87","59","25","32.97","34.2","0","0","0","0","0","52","6646","114.59","0","0","0"
"905","2026-04-06 10:38:54","0","1","-1","35","15.77","43.26","68","22","35.31","34.2","0","0","0","0","0","2","4739","81.71","0","0","0"
"906","2026-04-06 10:48:54","0","0","0","35","15.77","40.81","55","25","35.31","33","0","0","0","0","0","1","0","0","0","0","0"
"907","2026-04-06 10:58:54","0","0","0","35","15.77","44.99","77","53","35.33","33","0","0","0","0","0","0","0","0","0","0","0"
"908","2026-04-06 11:08:54","1","1","0","35","15.77","41.53","71","68","33.97","32.8","0","0","5293","91.27","0","1","7711","132.95","0","0","0"
"909","2026-04-06 11:18:54","0","1","-1","34","15.32","40.48","65","12","33.97","32.8","0","0","0","0","0","0","7720","133.12","0","0","0"
"910","2026-04-06 11:28:54","1","0","1","35","15.77","42.4","76","40","33.97","32","0","0","7949","137.06","0","2","0","0","0","0","0"
"911","2026-04-06 11:38:54","1","0","1","36","16.22","40.86","53","15","35.58","32","0","0","7545","130.09","0","0","0","0","0","0","0"
"912","2026-04-06 11:48:54","2","2","0","36","16.22","41.43","56","10","35.58","32","0","0","7328","126.36","0","1","5503","94.88","0","0","0"
"913","2026-04-06 11:58:54","1","1","0","36","16.22","45.94","77","51","35.86","31.8","0","0","7785","134.24","0","1","6637","114.44","0","0","0"
"914","2026-04-06 12:08:54","0","1","-1","35","15.77","41.13","50","19","36.13","32","0","0","0","0","0","3","5964","102.84","0","0","0"
"915","2026-04-06 12:23:17","0","3","-3","32","14.41","46.75","74","48","36.63","31.8","0","0","0","0","0","2","5427","93.58","0","0","0"
"916","2026-04-06 12:33:17","1","0","1","33","14.86","44.12","61","35","36.63","32","0","0","5026","86.67","0","1","0","0","0","0","0"
"917","2026-04-06 12:43:17","0","0","0","33","14.86","49.32","72","73","38.26","32","0","0","0","0","0","0","0","0","0","0","0"
"918","2026-04-06 12:53:17","0","1","-1","32","14.41","45.12","53","12","38.26","32","0","0","0","0","0","1","4652","80.22","0","0","0"
"919","2026-04-06 13:03:17","1","0","1","33","14.86","47.56","73","52","37.19","32","0","0","5178","89.28","0","0","0","0","0","0","0"
"920","2026-04-06 13:13:17","3","0","3","36","16.22","48.66","66","33","38.63","32","0","0","7870","135.7","0","1","0","0","0","0","0"
"921","2026-04-06 13:23:17","0","3","-3","33","14.86","50.07","76","51","38.19","31.8","0","0","0","0","0","2","6503","112.13","0","0","0"
"922","2026-04-06 13:33:17","1","0","1","34","15.32","44.89","55","17","37.85","31.8","0","0","7596","130.97","0","0","0","0","0","0","0"
"923","2026-04-06 13:43:17","0","0","0","34","15.32","49.86","78","64","37.85","31.5","0","0","0","0","0","1","0","0","0","0","0"
"924","2026-04-06 13:53:17","3","0","3","37","16.67","47.65","65","16","38.19","31.5","0","0","5159","88.96","0","0","0","0","0","0","0"
"925","2026-04-06 14:03:17","1","0","1","38","17.12","46.11","58","37","38.19","31.5","0","0","4985","85.95","0","0","0","0","0","0","0"
"926","2026-04-06 14:13:17","1","0","1","39","17.57","42.73","53","37","36.77","31.5","0","0","7758","133.77","0","0","0","0","0","0","0"
"927","2026-04-06 14:23:17","0","1","-1","38","17.12","46.8","73","72","36.77","31.5","0","0","0","0","0","3","5288","91.18","0","0","0"
"928","2026-04-06 14:33:17","0","1","-1","37","16.67","47.6","66","29","38.04","31.5","0","0","0","0","0","0","7780","134.14","0","0","0"
"929","2026-04-06 14:43:17","0","0","0","37","16.67","42.73","52","27","36.9","31.5","0","0","0","0","0","0","0","0","0","0","0"
"930","2026-04-06 14:53:17","0","1","-1","36","16.22","47.86","77","65","36.9","31.5","0","0","0","0","0","0","8017","138.23","0","0","0"
"931","2026-04-06 15:03:17","0","1","-1","35","15.77","45.69","61","21","37.56","31.5","0","0","0","0","0","0","5054","87.15","0","0","0"
"932","2026-04-06 15:13:17","0","2","-2","33","14.86","42.73","52","18","36.9","32.2","0","0","0","0","0","4","5791","99.86","0","0","0"
"933","2026-04-06 15:23:17","0","0","0","33","14.86","44.98","63","35","36.9","32.2","0","0","0","0","0","0","0","0","0","0","0"
"934","2026-04-06 15:33:17","0","0","0","33","14.86","48.27","79","53","36.9","32.2","0","0","0","0","0","0","0","0","0","0","0"
"935","2026-04-06 15:43:17","0","1","-1","32","14.41","47.43","76","57","36.78","32.2","0","0","0","0","0","0","6239","107.57","0","0","0"
"936","2026-04-06 15:53:17","0","0","0","32","14.41","43.35","56","11","36.78","32.2","0","0","0","0","0","0","0","0","0","0","0"
"937","2026-04-06 16:03:17","0","2","-2","30","13.51","47.18","67","37","37.68","32.2","0","0","0","0","0","0","6813","117.47","0","0","0"
"938","2026-04-06 16:13:17","0","3","-3","27","12.16","49.57","78","41","37.7","32.2","0","0","0","0","0","0","6384","110.08","0","0","0"
"939","2026-04-06 16:23:17","1","2","-1","26","11.71","49.56","71","51","38.51","32.2","0","0","6691","115.37","0","0","5312","91.6","0","0","0"
"940","2026-04-06 16:33:17","0","1","-1","25","11.26","47.32","61","13","38.51","34.5","0","0","0","0","0","1","7003","120.75","0","0","0"
"941","2026-04-06 16:43:17","1","1","0","25","11.26","48.8","72","60","37.98","34.5","0","0","5365","92.51","0","0","4827","83.23","0","0","0"
"942","2026-04-06 16:53:17","0","1","-1","24","10.81","50.14","78","46","38","34.5","0","0","0","0","0","2","4981","85.88","0","0","0"
"943","2026-04-06 17:03:17","1","1","0","24","10.81","44.27","51","15","38","34.5","0","0","7192","124.01","0","0","5612","96.76","0","0","0"
"944","2026-04-06 17:13:17","0","3","-3","21","9.46","45.72","66","15","36.97","34.5","0","0","0","0","0","0","7520","129.67","0","0","0"
"945","2026-04-06 17:23:17","0","3","-3","18","8.11","47.32","68","22","37.64","34.5","0","0","0","0","0","3","5749","99.13","0","0","0"
"946","2026-04-06 17:33:17","0","5","-5","13","5.86","49.46","78","76","37.64","34.5","0","0","0","0","0","0","5501","94.85","0","0","0"
"947","2026-04-06 17:43:17","0","4","-4","9","4.05","44.93","69","38","36.17","34.5","0","0","0","0","0","0","7279","125.51","0","0","0"
"948","2026-04-06 17:53:17","1","4","-3","6","2.7","46.11","76","71","36.06","34.5","0","0","6402","110.38","0","0","5869","101.19","0","0","0"
"949","2026-04-06 18:03:17","0","2","-2","4","1.8","42","55","38","36.06","34.5","0","0","0","0","0","1","5885","101.47","0","0","0"
"950","2026-04-06 18:13:17","0","1","-1","3","1.35","45.75","75","59","35.97","34.5","0","0","0","0","0","0","6950","119.83","0","0","0"
"951","2026-04-06 18:23:17","0","2","-2","1","0.45","45.17","72","54","35.97","34.5","0","0","0","0","0","0","5285","91.13","0","0","0"
